Year,commodity,rows,states,unit,min_total_production,max_total_production,source
2015,Yogurt,4,4,LB,55346000.0,669254000.0,USDA NASS QuickStats bulk export
2016,Cheese,14,14,LB,58082000.0,3248440000.0,USDA NASS QuickStats bulk export
2016,Coffee,1,1,"LB, CHERRY BASIS",29260000.0,29260000.0,USDA NASS QuickStats bulk export
2016,Honey,40,40,LB,160000.0,37830000.0,USDA NASS QuickStats bulk export
2016,Milk,50,50,LB,3500000.0,40469000000.0,USDA NASS QuickStats bulk export
2016,Yogurt,4,4,LB,50792000.0,676792000.0,USDA NASS QuickStats bulk export
2017,Cheese,14,14,LB,57727000.0,3376769000.0,USDA NASS QuickStats bulk export
2017,Coffee,1,1,"LB, CHERRY BASIS",25416000.0,25416000.0,USDA NASS QuickStats bulk export
2017,Honey,50,50,LB,4359.0,33670000.0,USDA NASS QuickStats bulk export
2017,Milk,50,50,LB,2900000.0,39798000000.0,USDA NASS QuickStats bulk export
2017,Yogurt,4,4,LB,34323000.0,706923000.0,USDA NASS QuickStats bulk export
2018,Cheese,14,14,LB,71675000.0,3422961000.0,USDA NASS QuickStats bulk export
2018,Coffee,1,1,"LB, CHERRY BASIS",27300000.0,27300000.0,USDA NASS QuickStats bulk export
2018,Honey,40,40,LB,160000.0,39600000.0,USDA NASS QuickStats bulk export
2018,Milk,50,50,LB,2800000.0,40420000000.0,USDA NASS QuickStats bulk export
2018,Yogurt,4,4,LB,31569000.0,691044000.0,USDA NASS QuickStats bulk export
2019,Cheese,14,14,LB,57805000.0,3362487000.0,USDA NASS QuickStats bulk export
2019,Coffee,1,1,"LB, CHERRY BASIS",27270000.0,27270000.0,USDA NASS QuickStats bulk export
2019,Honey,40,40,LB,195000.0,33800000.0,USDA NASS QuickStats bulk export
2019,Milk,48,48,LB,10600000.0,40605000000.0,USDA NASS QuickStats bulk export
2019,Yogurt,3,3,LB,37769000.0,679190000.0,USDA NASS QuickStats bulk export
2020,Cheese,12,12,LB,61189000.0,3389620000.0,USDA NASS QuickStats bulk export
2020,Coffee,1,1,"LB, CHERRY BASIS",25272000.0,25272000.0,USDA NASS QuickStats bulk export
2020,Honey,40,40,LB,200000.0,38610000.0,USDA NASS QuickStats bulk export
2020,Milk,48,48,LB,10900000.0,41311000000.0,USDA NASS QuickStats bulk export
2020,Yogurt,2,2,LB,354906000.0,722922000.0,USDA NASS QuickStats bulk export
2021,Cheese,13,13,LB,60884000.0,3492789000.0,USDA NASS QuickStats bulk export
2021,Coffee,1,1,"LB, CHERRY BASIS",29230000.0,29230000.0,USDA NASS QuickStats bulk export
2021,Honey,40,40,LB,240000.0,28325000.0,USDA NASS QuickStats bulk export
2021,Milk,48,48,LB,10100000.0,41861000000.0,USDA NASS QuickStats bulk export
2021,Yogurt,2,2,LB,374637000.0,774881000.0,USDA NASS QuickStats bulk export
2022,Cheese,13,13,LB,61779000.0,3520640000.0,USDA NASS QuickStats bulk export
2022,Coffee,1,1,"LB, CHERRY BASIS",23625000.0,23625000.0,USDA NASS QuickStats bulk export
2022,Honey,50,50,LB,14726.0,40873481.0,USDA NASS QuickStats bulk export
2022,Milk,48,48,LB,10000000.0,41800000000.0,USDA NASS QuickStats bulk export
2022,Yogurt,2,2,LB,221139000.0,793256000.0,USDA NASS QuickStats bulk export
2023,Cheese,13,13,LB,1111000.0,3517903000.0,USDA NASS QuickStats bulk export
2023,Coffee,1,1,"LB, CHERRY BASIS",23310000.0,23310000.0,USDA NASS QuickStats bulk export
2023,Honey,39,39,LB,195000.0,38250000.0,USDA NASS QuickStats bulk export
2023,Milk,48,48,LB,9600000.0,40900000000.0,USDA NASS QuickStats bulk export
2023,Yogurt,2,2,LB,223178000.0,891534000.0,USDA NASS QuickStats bulk export
