Year,commodity,rows,states,unit,min_total_production,max_total_production,source
2023,Cheese,13,13,LB,1111000.0,3517903000.0,USDA NASS QuickStats
2023,Coffee,1,1,"LB, CHERRY BASIS",23310000.0,23310000.0,USDA NASS QuickStats
2023,Honey,39,39,LB,195000.0,38250000.0,USDA NASS QuickStats
2023,Milk,48,48,LB,9600000.0,40900000000.0,USDA NASS QuickStats
2023,Yogurt,2,2,LB,223178000.0,891534000.0,USDA NASS QuickStats
2024,Cheese,9,9,LB,254737000.0,3585590000.0,USDA NASS QuickStats
2024,Coffee,1,1,"LB, CHERRY BASIS",25270000.0,25270000.0,USDA NASS QuickStats
2024,Honey,20,20,LB,600000.0,36260000.0,USDA NASS QuickStats
2024,Milk,48,48,LB,8600000.0,40288000000.0,USDA NASS QuickStats
2024,Yogurt,2,2,LB,219590000.0,983006000.0,USDA NASS QuickStats
