commodity,model,feature,importance
Coffee,xgboost,total_production,0.5118499994277954
Coffee,xgboost,Year,0.3411966562271118
Coffee,xgboost,yoy_pct_change,0.07881252467632294
Coffee,xgboost,production_lag_2,0.055853720754384995
Coffee,xgboost,production_lag_1,0.011499444954097271
Coffee,xgboost,rolling_3_mean,0.0007877156022004783
Coffee,xgboost,production_lag_3,0.0
Coffee,xgboost,rolling_5_mean,0.0
Coffee,xgboost,state_share_of_commodity,0.0
Coffee,xgboost,production_rank_in_commodity_year,0.0
Coffee,xgboost,years_observed_so_far,0.0
Coffee,xgboost,expanding_mean_to_date,0.0
Coffee,xgboost,State_HAWAII,0.0
Coffee,xgboost,commodity_Coffee,0.0
Honey,random_forest,rolling_3_mean,0.15374000070462665
Honey,random_forest,rolling_5_mean,0.15064699870399864
Honey,random_forest,total_production,0.12468559271278785
Honey,random_forest,state_share_of_commodity,0.12253423317432979
Honey,random_forest,production_rank_in_commodity_year,0.10554576224532516
Honey,random_forest,expanding_mean_to_date,0.08849376876279878
Honey,random_forest,production_lag_1,0.07511305771309122
Honey,random_forest,production_lag_2,0.0704953032897686
Honey,random_forest,production_lag_3,0.05562790362466475
Honey,random_forest,State_NORTH DAKOTA,0.006960324872961207
Honey,random_forest,State_SOUTH DAKOTA,0.005652683210068086
Honey,random_forest,State_CALIFORNIA,0.004874519310337676
Honey,random_forest,Year,0.0038025072690635346
Honey,random_forest,years_observed_so_far,0.003652685198747449
Honey,random_forest,State_FLORIDA,0.003610476343508814
Honey,random_forest,State_KENTUCKY,0.003178407132428734
Honey,random_forest,yoy_pct_change,0.0028658968777822845
Honey,random_forest,State_DELAWARE,0.0023581671569460057
Honey,random_forest,State_MINNESOTA,0.0014130810255680508
Honey,random_forest,State_TEXAS,0.0011267810121291394
Honey,random_forest,State_MARYLAND,0.0010529037923100468
Honey,random_forest,State_RHODE ISLAND,0.0010445325808039628
Honey,random_forest,State_MONTANA,0.0010332967485803418
Honey,random_forest,State_NEW JERSEY,0.000794114831461955
Honey,random_forest,State_MAINE,0.0007877325651996867
