State,Year,commodity,total_production
OKLAHOMA,1932,Milk,2498000000.0
OREGON,1932,Milk,1300000000.0
PENNSYLVANIA,1932,Milk,4293000000.0
RHODE ISLAND,1932,Milk,132000000.0
SOUTH CAROLINA,1932,Milk,547000000.0
SOUTH DAKOTA,1932,Milk,2051000000.0
TENNESSEE,1932,Milk,1691000000.0
TEXAS,1932,Milk,4010000000.0
UTAH,1932,Milk,562000000.0
VERMONT,1932,Milk,1339000000.0
VIRGINIA,1932,Milk,1309000000.0
WASHINGTON,1932,Milk,1721000000.0
WEST VIRGINIA,1932,Milk,814000000.0
WISCONSIN,1932,Milk,10992000000.0
WYOMING,1932,Milk,273000000.0
ALABAMA,1933,Milk,1217000000.0
ARIZONA,1933,Milk,216000000.0
ARKANSAS,1933,Milk,1254000000.0
CALIFORNIA,1933,Milk,4076000000.0
COLORADO,1933,Milk,1076000000.0
CONNECTICUT,1933,Milk,632000000.0
DELAWARE,1933,Milk,129000000.0
FLORIDA,1933,Milk,263000000.0
GEORGIA,1933,Milk,1116000000.0
IDAHO,1933,Milk,1056000000.0
ILLINOIS,1933,Milk,5051000000.0
INDIANA,1933,Milk,3128000000.0
IOWA,1933,Milk,6287000000.0
KANSAS,1933,Milk,3456000000.0
KENTUCKY,1933,Milk,1928000000.0
LOUISIANA,1933,Milk,582000000.0
MAINE,1933,Milk,639000000.0
MARYLAND,1933,Milk,770000000.0
MASSACHUSETTS,1933,Milk,742000000.0
MICHIGAN,1933,Milk,4297000000.0
MINNESOTA,1933,Milk,8166000000.0
MISSISSIPPI,1933,Milk,1321000000.0
MISSOURI,1933,Milk,3578000000.0
MONTANA,1933,Milk,755000000.0
NEBRASKA,1933,Milk,3163000000.0
NEVADA,1933,Milk,105000000.0
NEW HAMPSHIRE,1933,Milk,383000000.0
NEW JERSEY,1933,Milk,765000000.0
NEW MEXICO,1933,Milk,230000000.0
NEW YORK,1933,Milk,7297000000.0
NORTH CAROLINA,1933,Milk,1232000000.0
NORTH DAKOTA,1933,Milk,2278000000.0
OHIO,1933,Milk,4281000000.0
OKLAHOMA,1933,Milk,2506000000.0
OREGON,1933,Milk,1256000000.0
PENNSYLVANIA,1933,Milk,4299000000.0
RHODE ISLAND,1933,Milk,132000000.0
SOUTH CAROLINA,1933,Milk,558000000.0
SOUTH DAKOTA,1933,Milk,2118000000.0
TENNESSEE,1933,Milk,1722000000.0
TEXAS,1933,Milk,3909000000.0
UTAH,1933,Milk,560000000.0
VERMONT,1933,Milk,1305000000.0
VIRGINIA,1933,Milk,1304000000.0
WASHINGTON,1933,Milk,1685000000.0
WEST VIRGINIA,1933,Milk,804000000.0
WISCONSIN,1933,Milk,10851000000.0
WYOMING,1933,Milk,284000000.0
ALABAMA,1934,Milk,1226000000.0
ARIZONA,1934,Milk,225000000.0
ARKANSAS,1934,Milk,1236000000.0
CALIFORNIA,1934,Milk,4118000000.0
COLORADO,1934,Milk,1037000000.0
CONNECTICUT,1934,Milk,616000000.0
DELAWARE,1934,Milk,125000000.0
FLORIDA,1934,Milk,274000000.0
GEORGIA,1934,Milk,1109000000.0
IDAHO,1934,Milk,1004000000.0
ILLINOIS,1934,Milk,5081000000.0
INDIANA,1934,Milk,3048000000.0
IOWA,1934,Milk,6150000000.0
KANSAS,1934,Milk,3238000000.0
KENTUCKY,1934,Milk,1904000000.0
LOUISIANA,1934,Milk,594000000.0
MAINE,1934,Milk,635000000.0
MARYLAND,1934,Milk,769000000.0
MASSACHUSETTS,1934,Milk,747000000.0
MICHIGAN,1934,Milk,4224000000.0
MINNESOTA,1934,Milk,7482000000.0
MISSISSIPPI,1934,Milk,1308000000.0
MISSOURI,1934,Milk,3371000000.0
MONTANA,1934,Milk,731000000.0
NEBRASKA,1934,Milk,2929000000.0
NEVADA,1934,Milk,103000000.0
NEW HAMPSHIRE,1934,Milk,380000000.0
NEW JERSEY,1934,Milk,819000000.0
NEW MEXICO,1934,Milk,219000000.0
NEW YORK,1934,Milk,6983000000.0
